product_id,product_name,category,brand,sku,unit_price,cost_price,is_active,created_at,updated_at
ff3be737-dacf-486d-8386-258ff9a9b951,Total,Clothing,Moreno-Carpenter,SKU-17553,2902.32,1695.78,True,2026-02-23 19:03:56.531318,2026-02-23 19:03:56.531321
1f8d8073-68ff-4397-95ae-297fb76c064b,Performance,Home,Ramirez-Phillips,SKU-29318,2448.59,1767.98,True,2026-02-23 19:03:56.531604,2026-02-23 19:03:56.531605
be8aa542-4a1f-4d70-ae9b-f94d9d7e29c3,Individual,Clothing,"Martinez, Perez and Davis",SKU-63455,1862.87,1332.78,True,2026-02-23 19:03:56.531929,2026-02-23 19:03:56.531930
4155cb13-f9d5-4d0a-a494-2e4b03bc86c2,Authority,Clothing,Suarez Ltd,SKU-13532,3029.35,1912.19,True,2026-02-23 19:03:56.532090,2026-02-23 19:03:56.532091
477cd406-d903-4264-8f26-08e7568f3b40,Their,Electronics,Jones Group,SKU-87296,4261.44,2387.36,True,2026-02-23 19:03:56.532254,2026-02-23 19:03:56.532255
19a3549d-f797-42bd-9d71-37c972a35094,Total,Electronics,Taylor-Oconnor,SKU-42013,1401.28,791.25,True,2026-02-23 19:03:56.532493,2026-02-23 19:03:56.532494
a9c17964-45d7-4098-a654-1620f530af1f,Choose,Beauty,"Young, Ferguson and Vasquez",SKU-46901,519.01,296.29,True,2026-02-23 19:03:56.532898,2026-02-23 19:03:56.532899
139a44c1-160f-44b2-9843-8ef5c06d1bd4,Check,Sports,Cruz-Baker,SKU-98504,2813.13,1570.38,True,2026-02-23 19:03:56.533165,2026-02-23 19:03:56.533166
c1c1de90-b9f9-4dc4-8612-3f46747a46ec,Tonight,Sports,"Smith, Garza and Alvarado",SKU-77121,1666.53,1117.71,True,2026-02-23 19:03:56.533486,2026-02-23 19:03:56.533487
b6180446-ffed-49b8-9c47-cbbe97973c03,Writer,Electronics,"Price, Davis and Nichols",SKU-20019,817.64,600.13,True,2026-02-23 19:03:56.545929,2026-02-23 19:03:56.545932
37124ee8-5fb2-4694-9ad9-e177bc27bb9b,Attention,Clothing,"Howard, Robinson and Hall",SKU-54083,2235.11,1228.56,True,2026-02-23 19:03:56.546296,2026-02-23 19:03:56.546297
cfcc2bda-c282-4237-80a4-375af9aa667d,Ball,Clothing,Huynh Inc,SKU-75765,1729.34,886.27,True,2026-02-23 19:03:56.546483,2026-02-23 19:03:56.546484
ee9bee06-a0ff-48e9-810a-460ea0ed9f36,Foot,Beauty,"Ramirez, Peterson and Alexander",SKU-18398,4437.99,2888.74,True,2026-02-23 19:03:56.546804,2026-02-23 19:03:56.546805
87849b7c-0e25-497c-b9e7-b6189da57d58,Customer,Home,Hall-Brown,SKU-59958,4893.0,3526.62,True,2026-02-23 19:03:56.547046,2026-02-23 19:03:56.547047
f980dfc8-e584-4979-95e1-cc9d93cc9ea8,Still,Sports,Berry Inc,SKU-25983,140.32,77.86,True,2026-02-23 19:03:56.547208,2026-02-23 19:03:56.547209
977dba34-bc55-4d01-b3fe-a1fb88061b51,Author,Beauty,Dodson PLC,SKU-47809,2047.5,1229.3,True,2026-02-23 19:03:56.547380,2026-02-23 19:03:56.547381
1550c600-11a8-4582-8b46-bedc955eb53b,Ok,Sports,Adams Group,SKU-10666,1409.74,731.98,True,2026-02-23 19:03:56.547536,2026-02-23 19:03:56.547537
a6035b59-1c34-4ae4-8dec-2b04b6e9c5ba,Pay,Beauty,"Greene, Greer and Cooper",SKU-59537,3862.55,1973.24,True,2026-02-23 19:03:56.547849,2026-02-23 19:03:56.547850
0387178e-ba00-4a76-81fe-850aecbf0f1d,Real,Clothing,Kline-Kaiser,SKU-07025,1864.18,1338.07,True,2026-02-23 19:03:56.548085,2026-02-23 19:03:56.548086
9775676d-ee8a-4c0a-9596-7822c1def378,Deal,Beauty,Johnson-Welch,SKU-63040,4741.73,2837.72,True,2026-02-23 19:03:56.548324,2026-02-23 19:03:56.548325
